Recognition Number,Name,Legal Name,Acronym,Email,Website,Head Office Address Line 1,Head Office Address Line 2,Head Office Address Town/City,Head Office Address County,Head Office Address Postcode,Head Office Address Country,Head Office Address Telephone Number,Ofqual Status,Ofqual Recognised From,Ofqual Recognised To,CCEA Regulation Status,CCEA Regulation Recognised From,CCEA Regulation Recognised To
"RN5230","Cskills Awards, part of the NOCN Group","NOCN","Cskills Awards","cskillsawards@nocn.org.uk","http://www.citb.co.uk/awards/","Cskills Awards","Building 43, Bircham Newton","Kings Lynn","Norfolk","PE31 6RH","United Kingdom","0300 999 1177","Surrendered","2010-04-01 00:00:00.0000000","2018-03-31 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2017-08-02 00:00:00.0000000"
"RN5223","CABWI Awarding Body","CABWI Awarding Body","CABWI","quals@cabwi.co.uk","http://www.cabwi.co.uk","6 Bevis Marks",,,"London","EC3A 7BA","United Kingdom","020 7469 2642","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6031","Smart Awards Ltd ","Smart Awards Ltd","Smart Awards","Lesley@smartawards.co.uk","https://www.smartawards.co.uk/","Unit F8A, Holly Farm Business Park ","Honiley Road, Honiley ","Kenilworth ","Warwickshire ","CV8 1NP","United Kingdom","02476 421125","Recognised","2021-03-30 00:00:00.0000000",,"Never been recognised",,
"RN5196","AQA Education","AQA Education","AQA","mailbox@aqa.org.uk","http://www.aqa.org.uk","AQA","Stag Hill House","Guildford","Surrey","GU2 7XJ","United Kingdom","01483 506506","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2010-04-01 00:00:00.0000000",
"RN5157","NCTJ Training","NCTJ Training Limited","NCTJ","joanne.butcher@nctj.com","http://www.nctj.com","The New Granary","Station Road","Newport, Saffron Walden","Essex","CB11 3PL","United Kingdom","01799 544014","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6114","DNA Skills","SCL Education & Training Limited","DNA Skills","enquiries@dnaskills.co.uk","www.dnaskills.co.uk","7 Lakeside Business Park","Swan Lane",,"Sandhurst","GU47 9DN","United Kingdom","07917203905","Recognised","2023-04-14 00:00:00.0000000",,"Never been recognised",,
"RN6060","Institute of Chartered Accountants of England and Wales","ICAEW","ICAEW","kirsten.denoven@icaew.com","www.icaew.com","ICAEW Chartered Accountants’ Hall  ","Moorgate Place ",,"London","EC2R 6EA","United Kingdom"," +44 (0)20 7920 8100","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5236","First Aid Awards Ltd","First Aid Awards Ltd","FAA","enquiries@firstaidawards.com","http://www.firstaidawards.com","Awards House","10 Central Treviscoe","St Austell","Cornwall","PL26 7QW","United Kingdom","08458 333999","Recognised","2010-04-20 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2018-04-20 00:00:00.0000000"
"RN6068","International Compliance Association","International Compliance Association","ICA","epa@int-comp.org","https://www.int-comp.org/helping-your-organisation/end-point-assessment-england/","5th Floor","10 Whitechapel High Street",,"London","E1 8QS","United Kingdom","+44 (0) 121 362 7503","Recognised","2022-03-08 00:00:00.0000000",,"Never been recognised",,
"RN5160","Qualifi Ltd","Qualifi Ltd","QUALIFI","info@qualifi.net","http://www.qualifi.net","Synergy House","7 Acorn Business Park, Commercial Gate","Mansfield","Nottinghamshire","NG18 1EX","United Kingdom","0115 888 2323","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-07-23 00:00:00.0000000"
"RN6128","MN Awards Ltd","MN Awards Ltd","MNA","office@mnacademy.co.uk","www.mnawards.co.uk","Cromer Studios ","Holy Cross Chuch Crypt","98 Cromer Street","London","WC1H 8JU","United Kingdom","0207 052 4587","Recognised","2023-11-08 00:00:00.0000000",,"Never been recognised",,
"RN5181","Chartered Institute of Housing","The Chartered Institute of Housing","CIH","awarding.organisation@cih.org","http://www.cih.org","Suites 5 and 6 First Floor, Rowan House","Westwood Way","Coventry ","West Midlands","CV4 8LE","United Kingdom","024 7685 1700","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5193","OCR","Oxford, Cambridge and RSA Examinations","OCR","general.qualifications@ocr.org.uk","http://www.ocr.org.uk","Cambridge Office","The Triangle Building","Shaftesbury Road","Cambridge","CB2 8EU","United Kingdom","01223 553998","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2010-04-01 00:00:00.0000000",
"RN6007","Transcend Awards","Transcend Awards Limited","Transcend","services@transcendawards.co.uk","https://www.transcendawards.co.uk","Transcend Awards Limited ","Robin Park Arena ","Robin Park ","Wigan","WN5 OUH","United Kingdom","0333 7722619","Recognised","2018-12-03 00:00:00.0000000",,"Never been recognised",,
"RN6042","International Association of Maritime Institutions ","International Association of Maritime Institutions ","IAMI","secretary@iami.org.uk","https://iami.info/","c/o Bilbeck Business Services Ltd","19 Janson Road ",,"Southampton","SO15 5FU","United Kingdom","01914474160","Recognised","2021-09-30 00:00:00.0000000",,"Never been recognised",,
"RN5254","Professional Lighting and Sound Association","Professional Lighting and Sound Association","PLASA","info@plasa.org",,"Redoubt House","1 Edward Road","Eastbourne","Sussex","BN23 8AS","United Kingdom","01323 524120","Withdrawn","2010-04-01 00:00:00.0000000","2011-08-18 00:00:00.0000000","Never been recognised",,
"RN5324","AptEd","AptEd, the trading name of Open College Network South West Region (OCNSWR) Ltd","AptEd","richard.spencer@apted.org.uk","www.apted.org.uk","7 Scott Building","Plymouth Science Park","Plymouth","Devon","PL6 8BX","United Kingdom","01752831500","Surrendered","2010-12-14 00:00:00.0000000","2015-11-17 00:00:00.0000000","Never been recognised",,
"RN6055","1st Awards Ltd","1st Awards Limited","1st Awards","tracey@1st-awards.co.uk","www.1st-awards.co.uk","Twin Acres","Hulme Hall Lane","Allostock","Knutsford","WA16 9JN","United Kingdom","07801702378","Recognised","2021-12-09 00:00:00.0000000",,"Never been recognised",,
"RN5147","Imperial Society of Teachers of Dancing","The Imperial Society of Teachers of Dancing","ISTD","CSQA@istd.org","http://www.istd.org/","22/26 Paul Street",,,"London","EC2A 4QE","United Kingdom","+44 (0)20 7377 1577","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5267","The University of Central Lancashire Examination Board","UCLan Business Services Ltd","UCLanEB","CHunt5@uclan.ac.uk","www.uclanexams.org","School of Languages and International Studies","University of Central Lancashire","Preston","Lancashire","PR1 2HE","United Kingdom","01772 893672","Surrendered","2010-04-01 00:00:00.0000000","2014-01-02 00:00:00.0000000","Never been recognised",,
"RN5151","LAMDA","LAMDA Limited","LAMDA","exams@lamda.ac.uk","http://www.lamda.ac.uk","155 Talgarth Road","Hammersmith",,"London","W14 9DA","United Kingdom","(0)20 8834 0530","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6127","Chief Assessments Limited","Chief Assessments Limited","CAL","sh@chiefassessments.co.uk","www.chiefassessments.co.uk","Hollyhouse","3 LAWN ROAD",,"Doncaster","DN1 2JF","United Kingdom","+447966155786","Recognised","2023-10-31 00:00:00.0000000",,"Never been recognised",,
"RN5299","Training and Development Agency for Schools (not an awarding body)","Training and Development Agency for Schools (not an awarding body)","TDA","","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2010-10-21 00:00:00.0000000","Never been recognised",,
"RN5300","Childrens Workforce Development Council (note: not an awarding body)","Childrens Workforce Development Council (note: not an awarding body)","CWDC","","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2011-10-18 00:00:00.0000000","Never been recognised",,
"RN5146","Institute of Sales Management","ISM Education Limited","ISM","tim.arnold@ismeducation.co.uk","http://www.ismeducation.co.uk","Amba House","Lincoln Suite","15 College Road","Harrow","HA1 1BA","United Kingdom","07956 265072","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-11-06 00:00:00.0000000"
"RN5123","Council for the Curriculum, Examinations and Assessment","Council for the Curriculum, Examinations and Assessment","CCEA","info@ccea.org.uk","http://www.ccea.org.uk","29 Clarendon Dock","Clarendon Dock","Belfast",,"BT1 3BG","United Kingdom","028 9026 1200","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2010-04-01 00:00:00.0000000",
"RN5280","The Institution of Fire Engineers","The Institution of Fire Engineers","IFE","vicki.ball@ife.org.uk","http://www.ife.org.uk","The Institution of Fire Engineers","64-66 Cygnet Court, Timothy's Bridge Road","Stratford upon Avon","Warwickshire","CV37 9NW","United Kingdom","01789  261463","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-10-02 00:00:00.0000000"
"RN6026","Achieve and Partners Limited","Achieve and Partners Limited","Achieve+Partners","info@achievepartners.co.uk","achievepartners.co.uk","2 Clifton Moor Business Village","James Nicholson Link",,"York","YO30 4XG","United Kingdom","07368286151","Recognised","2020-11-10 00:00:00.0000000",,"Never been recognised",,
"RN5213","The Pensions Management Institute","The Pensions Management Institute","PMI","KHoodless@pensions-pmi.org.uk","http://www.pensions-pmi.org.uk","6th Floor","9 Appold Street","London","England","EC2A 2AP","United Kingdom","0207 392 7405","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-03-08 00:00:00.0000000"
"RN6078","Xact Assessment","Xact Training Ltd","Xact Assessment","info@xact-assessment.org.uk","https://www.xact-assessment.org.uk/","3 Abbey Lane Court",,,"Evesham","WR11 4BY","United Kingdom","01386277980","Recognised","2022-04-25 00:00:00.0000000",,"Never been recognised",,
"RN6008","SSid Awarding","Certass Limited","SSid","support@ssidawarding.co.uk","https://www.ssidawarding.co.uk","Certass Limited","4 Forbes Road","Ayr","Heathfield Industrial Estate","KA8 9FG","United Kingdom","01292292099","Recognised","2019-01-10 00:00:00.0000000",,"Never been recognised",,
"RN6067","Vistar Qualifications Limited","Vistar Qualifications Limited","Vistar","operations@vistarquals.com","www.vistarqualifications.com","Centaur House","Ancells Business Park","Ancells Road","Fleet","GU51 2UJ","United Kingdom","01252 761095","Withdrawn","2022-03-01 00:00:00.0000000","2023-08-31 00:00:00.0000000","Never been recognised",,
"RN5162","Recruitment & Employment Confederation","Recruitment & Employment Confederation","REC","simon.crask@rec.uk.com","http://www.rec.uk.com","20 Queen Elizabeth Street",,,"London","SE1 2LS","United Kingdom","020 7009 2100","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-09-26 00:00:00.0000000"
"RN5143","Institute of Leadership & Management","The Institute of Leadership & Management","ILM","customer@i-l-m.com","www.i-l-m.com","1 Giltspur Street",,"London",,"EC1A 9DD","United Kingdom","020 7294 2470","Surrendered","2010-04-01 00:00:00.0000000","2016-01-13 00:00:00.0000000","Never been recognised",,
"RN5220","Association of Accounting Technicians","The Association of Accounting Technicians","AAT","aat@aat.org.uk","http://www.aat.org.uk","30 Churchill Place","Canary Wharf",,"London","E14 5RE","United Kingdom","+44 (0)20 3735 2468","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5121","Council for Awards in Care, Health and Education","Council for Awards in Care, Health and Education","CACHE","info@cache.org.uk","www.cache.org.uk","Apex House","81 Camp Road","St Albans","Herts","AL1 5GB","United Kingdom","0845 3472123","Surrendered","2010-04-01 00:00:00.0000000","2016-01-29 00:00:00.0000000","Never been recognised",,
"RN5292","Contaminated Land: Applications in Real Environments","Contaminated Land: Applications in Real Environments","CL:AIRE","enquiries@claire.co.uk","www.claire.co.uk","7th Floor","1 Great Cumberland Place","London",,"W1H 7AL","United Kingdom","0207 258 5321","Surrendered","2010-08-31 00:00:00.0000000","2012-04-30 00:00:00.0000000","Never been recognised",,
"RN6047","The Institution of Civil Engineers ","The Institution of Civil Engineers ","ICE","epa@ice.org.uk","www.ice.org.uk"," Institution of Civil Engineers","One Great George Street","Westminster, London ","London ","SW1P 3AA","United Kingdom"," 020 7665 2344  ","Recognised","2021-10-28 00:00:00.0000000",,"Never been recognised",,
"RN5152","Lantra Awards","Lantra","Lantra Awards","awards@lantra.co.uk","http://www.lantra.co.uk","Lantra House","Stoneleigh Park","Coventry","Warwickshire","CV8 2LG","United Kingdom","02476 419703","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-08-08 00:00:00.0000000"
"RN5356","Fire Industry Association Awarding Organisation","Fire Industry Association","FIA","ao@fia.uk.com","http://www.fiaao.com","Tudor House, Kingsway Business Park","Oldfield Road","Hampton","Middlesex","TW12 2HD","United Kingdom","020 3166 5002","Surrendered","2014-06-12 00:00:00.0000000","2022-04-01 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2022-04-01 00:00:00.0000000"
"RN5116","British Driving Society","The British Driving Society Limited","BDS","justin.cowles@britishdrivingsociety.co.uk","http://www.britishdrivingsociety.co.uk","British Driving Society","Hoste House","Whiting Street","Bury St Edmund","IP33 1NR","United Kingdom","01284 630591","Surrendered","2010-04-01 00:00:00.0000000","2019-06-28 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2019-06-28 00:00:00.0000000"
"RN6036","CIWM","Chartered Institution of Wastes Management","CIWM","katie.cockburn@wamitab.org.uk","www.ciwm.co.uk","CIWM, Quadra","500 Pavilion Drive","Northmpaton Business Park","Northampton","NN4 7YJ","United Kingdom","01604620426","Recognised","2021-08-10 00:00:00.0000000",,"Recognised","2021-08-12 00:00:00.0000000",
"RN5330","Industry Qualifications","Industry Qualifications Ltd","IQ","info@industryqualifications.org.uk","http://www.industryqualifications.org.uk","Grosvenor House","Suite 4.02","Central Park","Telford","TF2 9TW","United Kingdom","0195 2457452","Surrendered","2011-03-03 00:00:00.0000000","2020-03-06 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2020-04-06 00:00:00.0000000"
"RN5357","National Association of Teachers of Dancing","The National Association of Teachers of Dancing","NATD","info@natd.org.uk","http://www.natd.org.uk","National House","Turnfields","Thatcham","Berkshire","RG19 4PT","United Kingdom","01635 868888","Recognised","2015-01-07 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6043","1st for EPA","1st for EPA Ltd","1st for EPA","helen@1stforepa.co.uk","www.1stforepa.co.uk","61 Cranbrook","Marton-in-Cleveland",,"Middlesbrough","TS8 9XH","United Kingdom","07929194873","Recognised","2021-09-30 00:00:00.0000000",,"Never been recognised",,
"RN6080","Advanced Analytics Solutions","Advanced Analytics Solutions LLP","AAS","michael.akers@advancedanalyticssolutions.co.uk","www.advancedanalyticssolutions.co.uk","71-75 Shelton Street",,,"London","WC2H 9JQ","United Kingdom","07986157649","Recognised","2022-05-12 00:00:00.0000000",,"Never been recognised",,
"RN5232","Defence Awarding Organisation","Defence Awarding Organisation (DAO)","DAO","defac-dao@mod.gov.uk","https://www.gov.uk/government/groups/defence-awarding-organisation","Defence Awarding Organisation (DAO)","Trenchard Building, Defence Academy of the United ","Shrivenham","Swindon","SN6 8LA","United Kingdom","07886324795","Recognised","2010-04-01 00:00:00.0000000",,"Never been recognised",,
"RN5200","Ascentis","Ascentis","Ascentis","internalqualityassurance@ascentis.co.uk","https://www.ascentis.co.uk/","Ascentis House, Lancaster Business Park","3 Mannin Way","Lancaster","Lancashire","LA1 3SW","United Kingdom","01524 845046","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5238","Institute of Risk Standards & Qualifications","Moody's Analytics UK Limited","iRSQ","Marc.flynn@moodys.com","www.irsqinstitute.com","One Canada Square","Canary Wharf","London",,"E145FA","United Kingdom","0207 772 1000","Surrendered","2010-04-26 00:00:00.0000000","2013-11-29 00:00:00.0000000","Never been recognised",,
"RN6117","In2assessments","In2action","In2A","barry.kaufman-hill@in2assessments.co.uk","https://www.in2assessments.co.uk","1 Jubilee Street ","2nd Floor, ","Jubilee Street, ","Brighton,  ","BN1 1GE","United Kingdom","07825966702","Recognised","2023-05-31 00:00:00.0000000",,"Never been recognised",,
"RN5217","City and Guilds of London Institute","City and Guilds of London Institute","City & Guilds","learnersupport@cityandguilds.com","http://www.cityandguilds.com","City & Guilds","Giltspur House","5-6 Giltspur Street","London","EC1A 9DE","United Kingdom","0207 294 2468","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5165","Skillsfirst Awards Ltd","Skillsfirst Awards Ltd","Skillsfirst","customerservices@skillsfirst.co.uk","http://www.skillsfirst.co.uk","Suite 416","Fort Dunlop, Fort Parkway","Birmingham","West Midlands","B24 9FD","United Kingdom","0121 270 5100","Surrendered","2010-04-01 00:00:00.0000000","2023-01-31 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2017-02-06 00:00:00.0000000"
"RN5260","Excellence, Achievement & Learning Limited","Excellence, Achievement & Learning Limited","EAL","customercare@eal.org.uk","http://www.eal.org.uk","Unit 2, The Orient Centre","Greycaine Road ","Watford ","Hertfordshire","WD24 7GP","United Kingdom","01923-652400","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6125","The Institute of Certified Bookkeepers ","The Institute of Certified Bookkeepers","ICB","apprenticeships@bookkeepers.org.uk","www.bookkeepers.org.uk","Chancery House","Chancery Lane",,"London","WC2A 1QS","United Kingdom","020 3405 4000","Recognised","2023-09-27 00:00:00.0000000",,"Never been recognised",,
"RN5154","NALP","NALP","NALP","info@nationalparalegals.co.uk","http://nationalparalegals.co.uk","Office 1, First Floor Offices","Dragon Bridge House","253-259 Whitehall Road","Leeds","LS12 6ER","United Kingdom","0207 112 8034","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-09-01 00:00:00.0000000"
"RN5168","The Swimming Teachers Association Limited","The Swimming Teachers Association Limited","STA","sta@sta.co.uk","www.sta.co.uk","Anchor House","Birch Street","Walsall","West Midlands","WS2 8HZ","United Kingdom","01922 645097","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-07-22 00:00:00.0000000"
"RN5325","iCan Qualifications Limited","iCan Qualifications Limited","iCQ","regulators@icanqualify.co.uk","http://www.icanqualify.co.uk","4th Floor, Salt Quay House","Sutton Harbour","Plymouth","Devon","PL4 0HP","United Kingdom","02038979293","Recognised","2010-12-17 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5266","BHS Qualifications","The British Horse Society Qualifications Limited","BHSQ","enquiries@bhsq.co.uk","https://www.bhsq.co.uk/","Abbey Park","Stareton","Kenilworth","Warwickshire","CV8 2XZ","United Kingdom","02476 840544","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5256","BPEC Certification Ltd","BPEC Certification Ltd","BPEC","kclark@bpec.org.uk","http://www.bpec.org.uk","2 Mallard Way","Pride Park","Derby","Derbyshire","DE24 8GX","United Kingdom","0845 644 6558","Recognised","2010-08-31 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-12-16 00:00:00.0000000"
"RN6017","PADI EMEA Limited","PADI EMEA Limited","PADI","training.emea@padi.com","https://www.padi.com/","The Pavilions","Bridgwater Road","Bristol",,"BS13 8AE","United Kingdom","+441173007234","Recognised","2019-11-19 00:00:00.0000000",,"Never been recognised",,
"RN6046","ICAS","The Institute of Chartered Accountants of Scotland","ICAS","pwilcock@icas.com","www.icas.com","CA House","21 Haymarket Yards",,"Edinburgh","EH12 5BH","United Kingdom","01313470100","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN6076","EngEPA Ltd","ENGEPA Ltd","EngEPA","vic.walsh@engepa.co.uk","http://www.engepa.co.uk","The FOUNDRY","Office Suite 5 2nd Floor","Yorke Street","Wrexham","LL13 8LW","United Kingdom","07533031113","Recognised","2022-04-05 00:00:00.0000000",,"Never been recognised",,
"RN6108","NEBOSH","The National Examination Board in Occupational Safety and Health","NEBOSH","april.chaplin@nebosh.org.uk","www.nebosh.org.uk","NEBOSH","5 Dominus Way","Meridian Business Park","Leicester","LE19 1QW","United Kingdom","0116 2634700","Recognised","2023-01-30 00:00:00.0000000",,"Never been recognised",,
"RN5265","British Gymnastics","British Gymnastics","BG","info@british-gymnastics.org",,"Ford Hall","Lilleshall National Sports Centre","Newport","Shropshire","TF10 9NB","United Kingdom","0845 129 7129","Surrendered","2010-04-01 00:00:00.0000000","2012-04-23 00:00:00.0000000","Never been recognised",,
"RN5198","VTCT","Vocational Training Charitable Trust","VTCT","customersupport@vtct.org.uk","http://www.vtct.org.uk","Aspire House","Annealing Close","Eastleigh","Hampshire","SO50 9PX","United Kingdom","023 8068 4500","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5135","ETC Awards Limited","ETC Awards Limited","ETCAL","steve.walker@eta-gms.com","http://www.eta-gms.com","313 City East Business Centre","68-72 Newtownards Road","Belfast","Northern Ireland ","BT4 1GW","United Kingdom","028 – 9094 1690","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5258","Institute of Commercial Management","The Institute of Commercial Management","IOCM","theresa.barlow@icm.education","https://www.icm.education/","ICM House","Castleman Way","Ringwood","Hampshire","BH24 3BA","United Kingdom","01202-490555","Surrendered","2010-04-01 00:00:00.0000000","2015-10-01 00:00:00.0000000","Never been recognised",,
"RN6069","Chartered Institute for Archaeologists","Chartered Institute for Archaeologists","CIfA","assessment@archaeologists.net","www.archaeologists.net","Power Steele Building","Wessex Hall, Whiteknights Road","Earley","Reading","RG6 6DE","United Kingdom","0118 966 2841","Recognised","2022-03-31 00:00:00.0000000",,"Never been recognised",,
"RN5139","Institute of Administrative Management","Institute of Administrative Management (The)","IAM","info@instam.org","www.instam.org","C/O Begbies Traynor (Central) LLP","10th Floor Temple Point, 1 Temple Row","Birmingham",,"B2 5LG","United Kingdom","02070912600","Surrendered","2010-04-01 00:00:00.0000000","2014-03-31 00:00:00.0000000","Never been recognised",,
"RN5329","OCN North East Region","OCN North East Region","OCNNER","admin@ocnner.org.uk","www.ocnner.org.uk","1 Palmer Road","South West Industrial Estate","Peterlee","Co Durham","SR8 2HU","United Kingdom","0191 518 6550","Surrendered","2011-03-03 00:00:00.0000000","2014-01-02 00:00:00.0000000","Never been recognised",,
"RN5282","Award Scheme Development and Accreditation Network","ASDAN","ASDAN","compliance@asdan.org.uk","http://www.asdan.org.uk","Wainbrook House, "," Hudds Vale Road, St George","Bristol","UK","BS5 7HY","United Kingdom","0117 941 1126","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5118","BIIAB","BIIAB Qualifications Ltd","BIIAB","CustomerSupport@biiab.co.uk","http://www.biiab.org","BIIAB Qualifications Ltd","Robins Wood House","Robins Wood Road","Nottingham","NG8 3NH","United Kingdom","0115 854 1630","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6087","GP Strategies Assessment Services Limited","GP Strategies Training Ltd","GPSAS","EPA@gpstrategies.com","www.gp-sas.co.uk","3rd Floor","1 Ashley Road","Altrincham","Cheshire","WA14 2DT","United Kingdom","01158579377","Recognised","2022-06-02 00:00:00.0000000",,"Never been recognised",,
"RN5159","Qualifications Network","Qualifications Network Limited","QNUK","Centres@QNUK.org","http://qualifications-network.co.uk","Unit 9","Brooklands Court","Kettering","Northamptonshire","NN15 6FD","United Kingdom","020 3795 0559","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5114","Swim England Qualifications","Amateur Swimming Association (Swim England) Limited","SEQ","info@swimenglandqualifications.com","http://swimenglandqualifications.com","Swim England Qualifications, Sportpark","3 Oakwood Drive","Loughborough",,"LE11 3QF","United Kingdom","01509 640493","Recognised","2010-04-01 00:00:00.0000000",,"Never been recognised",,
"RN5283","Kaplan Professional Awards","Kaplan Professional Awards Limited","KPA","kpaenquiries@kaplan.co.uk","http://kaplan-professional-awards.kaplan.co.uk","Kaplan Professional Awards","4th Floor","179 - 191 Borough High Street","London","SE1 1HR","United Kingdom","0207 645 8912","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-10-19 00:00:00.0000000"
"RN5333","Alzheimer's Society","Alzheimer's Society","ASAO","brian.hallam@alzheimers.org.uk","www.alzheimers.org.uk","Devon House","58 St Katherine's Way","London",,"E1W 1JX","United Kingdom","020 7423 3500","Withdrawn","2011-04-13 00:00:00.0000000","2011-09-16 00:00:00.0000000","Never been recognised",,
"RN6074","Chartered Institute of Internal Auditors","Chartered Institute of Internal Auditors","Chartered IIA","frances.overton@iia.org.uk","iia.org.uk","Wimbledon Business Centre","The Old Town Hall","4 Queen's Road","London","SW19 8YB","United Kingdom","020 7498 0101","Recognised","2022-03-31 00:00:00.0000000",,"Never been recognised",,
"RN6029","Qualifications for Industry","Qualifications for Industry Limited","QFI","admin@qfi.org.uk","https://qfi.org.uk/","93 George Street",,,"Edinburgh","EH2 3ES","United Kingdom","0131 243 2514 ","Recognised","2021-03-05 00:00:00.0000000",,"Never been recognised",,
"RN5172","WJEC-CBAC","WJEC-CBAC Ltd","WJEC","rits@wjec.co.uk","http://www.wjec.co.uk","245 Western Avenue",,"Cardiff",,"CF5 2YX","United Kingdom","02920265000","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2010-04-01 00:00:00.0000000",
"RN5233","Awarding Body for Vocational Achievement (AVA) Ltd","Awarding Body for Vocational Achievement (AVA) Ltd","BAA","public.enquiries@ofqual.gov.uk","http://www.ofqual.gov.uk","27 Sheet Street","Windsor",,,"SL4 1BN","United Kingdom","020 3642 1330","Withdrawn","2010-04-01 00:00:00.0000000","2018-05-04 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2017-10-13 00:00:00.0000000"
"RN5131","Confederation of Tourism and Hospitality","CTH Awards Limited","CTH","marina.pareas@cthawards.com","http://www.cthawards.com","231 Vauxhall Bridge Road"," Victoria",,"London","SW1V 1AD","United Kingdom","02079534006","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2019-02-25 00:00:00.0000000"
"RN5203","McDonalds","McDonald's Restaurants Ltd","McDonalds","Mary.Payne@uk.mcd.com","http://www.mcdonalds.co.uk","McDonald's Restaurants Ltd","11-59 High Road","East Finchley","London","N2 8AW","United Kingdom","0208 700 7381","Surrendered","2010-04-01 00:00:00.0000000","2017-10-09 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2017-04-30 00:00:00.0000000"
"RN5188","BCS, The Chartered Institute for IT","British Computer Society","BCS","qualifications@bcs.uk","http://www.bcs.org","3 Newbridge Square","Milford Street","Swindon","Wiltshire","SN1 1BY","United Kingdom","01793 417417","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6009","Prospect Awards CIC","Prospect Awards CIC","Prospect Awards","helpdesk@prospectawards.org","https://prospectawards.org/","The Studio","21B Garrison Road","Magherafelt","Northern Ireland","BT45 8RD","United Kingdom","02879469404","Never been recognised",,,"Surrendered","2019-02-25 00:00:00.0000000","2022-01-18 00:00:00.0000000"
