Qualification Title,Owner Organisation Name,Owner Organisation Acronym,Qualification Level,Qualification Type,Qualification Status
Pearson BTEC Level 1 Award in Basic Cooking Skills,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Business Administration,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Business Operations (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Caring for Children,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Construction,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Construction Skills,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Creative Media Production,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Customer Service (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Engineering,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Fashion and Clothing,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in General Front Office Operations (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in General Housekeeping Operations (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Graphic Design,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Health and Safety in a Construction Environment,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Health and Social Care,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Healthy Eating,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Improving Health and Fitness for Entry into the Uniformed Public Services (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Interactive Media,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Introduction to Health and Social Care (Adults and Children and Young People) Early Years and Child Care - Wales and Northern Ireland (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
"Pearson BTEC Level 1 Award in Introduction to Health and Social Care (Adults and Children and Young People), Early Years and Childcare (Wales and Northern Ireland)",Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
"Pearson BTEC Level 1 Award in Introduction to Health, Social Care and Children and Young People's Settings",Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Introduction to the Hospitality Industry,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Introduction to the Travel and Tourism Industry,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Land-based Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Mathematical Applications,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Money and Finance Skills,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Award in Performing Arts,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Personal Safety Awareness,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Award in Photography,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Preparation and Operation of a Tractor,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Preparing to Work in Adult Social Care,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Principles for Carrying and Delivering Goods by Road (QCF) ,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Public Sector Practice (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Public Services,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Retail Knowledge,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Safe Road Skills and Attitudes,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Award in Social Media,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Sport and Active Leisure,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Supporting Activities and Events for Sport and Active Leisure,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Supporting Employability and Personal Effectiveness,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Award in Sustainability Skills,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Award in Textiles (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in the Principles of Coaching Sport (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Travel and Tourism,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in Understanding An Entrepreneurial Approach,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Visual Arts,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in Vocational Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Award in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Award in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate for IT Users (ITQ),Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in 3D Design (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in an Introduction to Hair and Beauty,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Applied Science,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Art and Design,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Business Administration,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Business Administration,Pearson Education Ltd,Pearson,Level 1,Occupational Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Business Operations (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Caring for Children,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Construction,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Construction Skills,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Creative Media Production,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Engineering,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Exploring the Caring Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Exploring the Construction and Engineering Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Exploring the Creative Arts and Media Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Fashion and Clothing (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in General Beverage Service Skills,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in General Cookery,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in General Food and Beverage Service,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Graphic Design (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Hairdressing Services (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Health and Social Care,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Interactive Media (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Introduction to Culinary Skills,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Introduction to Health and Social Care (Adults and Children and Young People) Early Years and Child Care - Wales and Northern Ireland (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
"Pearson BTEC Level 1 Certificate in Introduction to Health and Social Care (Adults and Children and Young People), Early Years and Childcare (Wales and Northern Ireland)",Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Introduction to Professional Food and Beverage Service,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Introduction to Professional Food and Beverage Service Skills,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Introduction to the Hospitality Industry,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Introduction to the Travel and Tourism Industry,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Investigating the Hospitality Industry,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Land-based Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Leadership Skills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Learning for Life,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Performing Arts,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Photography (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Planning and Participating in Work Experience (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Public Sector Practice (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Public Services,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Retail Knowledge,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Safe Road Skills and Attitudes,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
"Pearson BTEC Level 1 Certificate in Science, Technology, Engineering and Maths Leadership Skills (QCF)",Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Sport and Active Leisure,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Supporting Activities and Events for Sport and Active Leisure,Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Supporting Employability and Personal Effectiveness (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Sustainability Skills,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Teamwork and Personal Skills for Cadets (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Teamwork and Personal Skills for Uniformed Youth Organisations,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
"Pearson BTEC Level 1 Certificate in Teamwork, Personal Skills and Citizenship in Youth Organisations",Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Textiles (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Travel and Tourism,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Visual Arts (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in Vocational Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in Workskills,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Certificate in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Certificate in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
"Pearson BTEC Level 1 Certificate Introduction to Health, Social Care and Children and Young People's Settings",Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma for IT Users (ITQ),Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in 3D Design (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in an Introduction to Hair and Beauty,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Applied Science,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Art and Design,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Business Administration,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Caring for Children,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Construction,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Creative Media Production,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Engineering,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Exploring the Caring Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Exploring the Construction and Engineering Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Exploring the Creative Arts and Media Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Fashion and Clothing (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Graphic Design (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Health and Social Care,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Interactive Media (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
"Pearson BTEC Level 1 Diploma in Introduction to Health and Social Care (Adults and Children and Young People), Early Years and Childcare (Wales and Northern Ireland)",Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Introduction to Professional Cookery (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Introduction to the Travel and Tourism Industry,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Land-based Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Performing Arts,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Photography (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Preparing for a Career in the Hospitality Industry (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Public Services,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Sport and Active Leisure,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Textiles (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Travel and Tourism,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Visual Arts (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in Vocational Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in Workskills,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Diploma in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Diploma in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Essential Application of Number Skills,Pearson Education Ltd,Pearson,Level 1,Other General Qualification,No longer awarded
Pearson BTEC Level 1 Essential Communication Skills,Pearson Education Ltd,Pearson,Level 1,Other General Qualification,No longer awarded
Pearson BTEC Level 1 Essential Digital Literacy Skills,Pearson Education Ltd,Pearson,Level 1,Other General Qualification,No longer awarded
Pearson BTEC Level 1 Essential Employability Skills,Pearson Education Ltd,Pearson,Level 1,Other General Qualification,No longer awarded
Pearson BTEC Level 1 Extended Award in Planning and Participating in Work Experience (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Extended Certificate for IT Users (ITQ),Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate In Construction,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Construction Skills,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Creative Media Production,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Exploring the Caring Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Exploring the Construction and Engineering Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Exploring the Creative Arts and Media Sectors,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Public Services,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Supporting Activities and Events for Sport and Active Leisure (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Vocational Studies,Pearson Education Ltd,Pearson,Level 1,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in Workskills,Pearson Education Ltd,Pearson,Level 1,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 1 Extended Certificate in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 1,QCF,No longer awarded
"Pearson BTEC Level 1/Level 2 First Award in Children's Play, Learning and Development",Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Award in Digital Technologies,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Award in Engineering Design and Product Investigation ,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Award in Engineering Electronics and Computer Control Technologies,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Award in Engineering Materials and Manufacturing,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Award in Equine Studies,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Award in Health and Social Care,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Certificate in Art and Design,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
"Pearson BTEC Level 1/Level 2 First Certificate in Children's Play, Learning and Development",Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Diploma in Art and Design,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Diploma in Public Services,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 First Extended Certificate in Art and Design,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Art and Design Practice,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Child Development,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC level 1/level 2 Tech Award in Construction,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Creative Media Production,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Digital Information Technology,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Digital Tools and Technologies,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Engineering,Pearson Education Ltd,Pearson,Level 1/Level 2,Other Vocational Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Enterprise,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Health and Social Care,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Hospitality and Catering,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Land-based Studies,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Music Practice,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Performing Arts,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
"Pearson BTEC Level 1/Level 2 Tech Award in Sport, Activity and Fitness",Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 1/Level 2 Tech Award in Travel and Tourism,Pearson Education Ltd,Pearson,Level 1/Level 2,Vocationally-Related Qualification,No longer awarded
Pearson BTEC Level 2 6-credit Award in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 70-GLH Award in Workskills,Pearson Education Ltd,Pearson,Level 2,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 2 9-credit Award in WorkSkills (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 95-GLH Award in Workskills,Pearson Education Ltd,Pearson,Level 2,Other Life Skills Qualification,No longer awarded
Pearson BTEC Level 2 Award for Personal Licence Holders (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award for Upskilling a Door Supervisor within the Private Security Industry,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award for Upskilling Door Supervisors (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award for Working as a CCTV Operator (Public Space Surveillance) within the Private Security Industry,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award for Working as a Door Supervisor within the Private Security Industry,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award for Working as a Security Officer within the Private Security Industry,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in 3D Design (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Achieving Excellence in Skills Performance (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Awareness of Dementia,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Awareness of End of Life Care,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Barista Skills,Pearson Education Ltd,Pearson,Level 2,Occupational Qualification,No longer awarded
Pearson BTEC Level 2 Award in Business (Specialist) (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
Pearson BTEC Level 2 Award in Carry and Deliver Goods (QCF),Pearson Education Ltd,Pearson,Level 2,QCF,No longer awarded
